feature,importance
F3908,80
F3898,53
F3914,46
F3913,37
F3811,32
F3812,32
F3813,30
F3872,29
F3805,29
F270,25
F1819,25
F3526,24
F3499,24
F3899,23
F3105,22
F3829,22
F125,21
F3748,21
F2489,20
F3715,20
F3493,20
F3108,19
F3799,19
F3243,19
F3709,18
F1813,18
F3489,18
F3801,18
F3873,18
F1825,18
F3351,17
F3806,17
F3348,17
F369,17
F3871,17
F2350,17
F1921,17
F3919,17
F3802,17
F1057,16
F364,16
F2182,16
F119,16
F114,16
F3800,16
F3484,16
F1597,16
F3880,15
F156,15
F3602,15
F3750,15
F1317,15
F2349,15
F3922,15
F3534,15
F53,14
F3487,14
F3002,14
F1853,14
F1166,14
F1705,14
F3640,14
F3831,14
F162,13
F1827,13
F2343,13
F365,13
F3825,13
F3797,13
F3798,13
F2637,13
F3500,13
F2385,13
F1821,13
F3592,13
F2344,12
F3807,12
F62,12
F3601,12
F2068,12
F3804,12
F3496,12
F1861,12
F1922,12
F3719,12
F1814,12
F3839,11
F1490,11
F160,11
F3717,11
F3672,11
F1926,11
F3608,11
F3635,11
F3532,11
F2390,11
F2447,11
F3604,11
F3488,11
F358,11
F3817,11
F1636,11
F2581,10
F3722,10
F3642,10
F1820,10
F2342,10
F2136,10
F2387,10
F2443,10
F2148,10
F3490,10
F2142,10
F2355,10
F1818,10
F949,10
F2738,10
F2737,10
F1927,10
F3675,10
F3398,10
F3822,10
F2781,9
F3607,9
F3634,9
F1960,9
F3529,9
F261,9
F112,9
F3537,9
F1931,9
F1279,9
F2074,9
F2352,9
F2681,9
F3395,9
F120,9
F2686,9
F1382,9
F471,9
F470,9
F1826,9
F2585,9
F739,9
F1489,9
F2742,9
F3827,9
F3826,9
F2718,9
F2582,9
F2893,9
F2591,9
F2776,9
F3643,9
F2346,9
F1105,9
F3564,8
F118,8
F1717,8
F2783,8
F126,8
F631,8
F637,8
F950,8
F3710,8
F3711,8
F1816,8
F2894,8
F3751,8
F1716,8
F558,8
F1501,8
F3823,8
F3106,8
F2298,8
F3920,8
F1596,8
F3146,8
F3808,8
F59,8
F3103,8
F2643,8
F2354,8
F2651,8
F3803,8
F2356,8
F264,8
F2999,8
F3820,8
F2040,8
F1647,8
F255,8
F1706,8
F2384,8
F2388,8
F2034,8
F3598,8
F3796,8
F1273,8
F2451,8
F3046,7
F572,7
F3830,7
F3096,7
F363,7
F2293,7
F2291,7
F61,7
F528,7
F368,7
F1609,7
F3060,7
F3093,7
F3501,7
F2446,7
F1063,7
F2483,7
F1815,7
F1606,7
F2684,7
F1603,7
F3841,7
F564,7
F2480,7
F3743,7
F433,7
F1924,7
F3645,7
F1822,7
